,Mpala01-13,Mpala01-1,Mpala01-2,Mpala01-3,Mpala01-4,Mpala01-5,Mpala01-6,Mpala01-7,Mpala01-8,Mpala01-9,Mpala01-10,Mpala01-11,Mpala01-12,Mpala01-14,Mpala01-15,Mpala01-16,Mpala01-17,Mpala01-18,Mpala01-19,Mpala01-20,Mpala01-21,Mpala01-22,Mpala01-23,Mpala01-24,Mpala01-25,Mpala01-26,Mpala01-27,Mpala01-29,Mpala01-30,Mpala01-28,Mpala02-53,Mpala02-55,Mpala02-54,Mpala02-56,Mpala02-57,Mpala02-58,Mpala02-59,Mpala02-48,Mpala02-45,Mpala02-44,Mpala02-46,Mpala02-47,Mpala02-49,Mpala02-51,Mpala02-50,Mpala02-52,Mpala02-42,Mpala02-37,Mpala02-36,Mpala02-35,Mpala02-34,Mpala02-60,Mpala02-32,Mpala02-33,Mpala02-31,Mpala02-39,Mpala02-40,Mpala02-41,Mpala02-38,Mpala02-43,Mpala03-61,Mpala03-62,Mpala03-63,Mpala03-64,Mpala03-65,Mpala03-66,Mpala03-68,Mpala03-67,Mpala03-69,Mpala03-70,Mpala03-71,Mpala03-72,Mpala03-73,Mpala03-74,Mpala03-75,Mpala03-76,Mpala03-78,Mpala03-77,Mpala03-79,Mpala03-80,Mpala03-81,Mpala03-82,Mpala03-83,Mpala03-84,Mpala03-85,Mpala03-86,Mpala03-87,Mpala03-88,Mpala03-89,Mpala03-90,Mpala05-91,Mpala05-92,Mpala05-95,Mpala05-93,Mpala05-94,Mpala05-96,Mpala05-97,Mpala05-101,Mpala05-98,Mpala05-99,Mpala05-100,Mpala05-102,Mpala05-108,Mpala05-103,Mpala05-104,Mpala05-105,Mpala05-106,Mpala05-107,Mpala05-111,Mpala05-109,Mpala05-110,Mpala05-112,Mpala05-113,Mpala05-114,Mpala05-115,Mpala05-116,Mpala05-117,Mpala05-118,Mpala05-119,Mpala05-120,Mpala07-125,Mpala07-122,Mpala07-124,Mpala07-126,Mpala07-127,Mpala07-128,Mpala07-129,Mpala07-130,Mpala07-131,Mpala07-132,Mpala07-133,Mpala07-134,Mpala07-135,Mpala07-136,Mpala07-137,Mpala07-138,Mpala07-139,Mpala07-140,Mpala07-141,Mpala07-142,Mpala07-143,Mpala07-144,Mpala07-145,Mpala07-146,Mpala07-147,Mpala07-148,Mpala07-149,Mpala07-150,Mpala09-152,Mpala09-151,Mpala09-153,Mpala09-154,Mpala09-155,Mpala10-157,Mpala10-159,Mpala10-158,Mpala10-161,Mpala10-160,Mpala10-163,Mpala10-162,Mpala10-164,Mpala10-167,Mpala10-166,Mpala10-165,Mpala15-188,Mpala15-189,Mpala15-190,Mpala15-191,Mpala15-192,Mpala15-193,Mpala15-194,Mpala15-195,Mpala15-196,Mpala15-197,Mpala15-200,Mpala15-198,Mpala15-199,Mpala07-121
0.0,31,17,12,15,31,22,26,81,28,9,31,16,64,28,7,52,25,99,10,18,37,25,18,23,38,79,16,41,35,54,0,0,0,0,0,0,19,0,5,5,5,15,16,6,2,0,9,0,9,0,0,0,5,2,12,59,8,26,0,0,20,40,19,31,45,34,14,18,2,123,38,19,62,17,54,24,18,9,46,5,17,2,27,28,68,11,29,16,64,15,50,19,56,36,12,35,55,236,15,50,42,26,42,12,27,279,21,25,29,5,6,52,19,47,13,7,51,57,47,42,54,56,59,88,49,19,86,59,17,7,66,33,21,17,35,2,31,42,15,7,48,34,10,5,4,3,15,61,34,4,15,28,5,55,24,11,23,42,42,93,6,10,55,47,5,0,3,1,14,3,1,0,9,4,1,74,0,25
0.05,10,0,4,11,30,4,3,71,15,1,30,1,45,0,0,31,13,71,0,12,18,8,9,7,12,75,1,27,12,45,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,9,0,9,0,0,0,4,0,5,54,0,0,0,0,13,1,4,15,31,19,0,0,0,110,33,0,46,8,34,21,5,0,24,0,7,0,23,23,63,0,21,0,57,0,2,0,0,0,0,0,0,0,0,0,0,0,36,0,3,279,5,11,4,1,1,47,2,0,1,2,38,32,36,29,34,49,58,77,32,3,81,52,11,0,40,3,0,9,26,0,12,17,1,0,9,22,0,0,0,0,4,52,28,1,0,27,0,47,7,3,0,19,1,64,0,0,0,42,0,0,1,1,13,0,1,0,2,0,1,72,0,0
0.25,0,0,0,0,12,0,0,49,1,0,8,0,7,0,0,0,0,65,0,0,0,0,0,0,0,42,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,9,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,1,0,0,0,0,3,8,0,24,0,0,7,0,0,0,0,0,0,17,2,38,0,13,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,257,0,0,0,0,0,47,0,0,1,0,32,1,1,7,0,49,58,73,0,0,52,40,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,28,0,0,15,0,46,0,0,0,18,0,0,0,0,0,39,0,0,0,0,13,0,1,0,0,0,1,72,0,0
0.5,0,0,0,0,3,0,0,49,1,0,0,0,7,0,0,0,0,65,0,0,0,0,0,0,0,41,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,9,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,6,0,0,0,0,0,0,13,0,29,0,13,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,220,0,0,0,0,0,47,0,0,1,0,32,1,0,6,0,49,57,73,0,0,45,40,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,28,0,0,15,0,46,0,0,0,18,0,0,0,0,0,38,0,0,0,0,13,0,1,0,0,0,1,72,0,0
0.75,0,0,0,0,3,0,0,49,1,0,0,0,7,0,0,0,0,65,0,0,0,0,0,0,0,37,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,9,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,6,0,0,0,0,0,0,3,0,14,0,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,205,0,0,0,0,0,46,0,0,1,0,32,1,0,6,0,49,56,72,0,0,8,40,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,15,0,46,0,0,0,18,0,0,0,0,0,37,0,0,0,0,13,0,1,0,0,0,1,72,0,0
1.0,0,0,0,0,2,0,0,48,0,0,0,0,7,0,0,0,0,65,0,0,0,0,0,0,0,32,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,9,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,1,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,188,0,0,0,0,0,37,0,0,1,0,32,1,0,1,0,48,54,67,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,15,0,46,0,0,0,17,0,0,0,0,0,30,0,0,0,0,13,0,1,0,0,0,1,69,0,0
1.25,0,0,0,0,2,0,0,48,0,0,0,0,7,0,0,0,0,65,0,0,0,0,0,0,0,26,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,9,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,29,0,0,1,0,32,1,0,1,0,26,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,15,0,41,0,0,0,15,0,0,0,0,0,26,0,0,0,0,13,0,1,0,0,0,1,69,0,0
1.5,0,0,0,0,0,0,0,47,0,0,0,0,7,0,0,0,0,65,0,0,0,0,0,0,0,24,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,9,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,20,0,0,1,0,32,0,0,0,0,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,7,0,0,0,8,0,0,0,0,0,24,0,0,0,0,13,0,1,0,0,0,1,69,0,0
1.75,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,65,0,0,0,0,0,0,0,24,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,31,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,10,0,1,0,0,0,1,64,0,0
2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65,0,0,0,0,0,0,0,13,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,21,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,1,0,1,0,0,0,1,33,0,0
